grammar.conjunction_phrase,Linkulexili jumlemon,Conj. phrase,Konjunkcia frazo,Frase conjuntiva,Konjunktionalphrase,Voegwoordgroep,Syntagme conjonctif,Sintagma congiuntivo,Союзная группа,Phrasis coniunctionalis,,צירוף חיבורי,عبارة عطفيّة,连词短语,接続詞句,,פֿאַרבינדונג־פֿראַזע,Bağlaç öbeği,Теркәгеч фразасы,Frase de conjunção,Sintagmă conjuncțională,Konjunktionsfras,संयोजकवाक्यांशः,Συνδεσμική φράση,Fraza spójnikowa,Съюзна фраза,Сполучникове словосполучення,Везничка фраза,Spojovací fráze,Kötőszós kifejezés,접속사구,Cụm liên từ,Frasa konjungsi,Frasa kata hubung,Pariralang pangatnig,عبارت ربطی,संयोजक वाक्यांश,عطفی جملہ,সংযোজক বাক্যাংশ,இணைப்புச் சொற்றொடர்,సమ్మేళన పదబంధం,,സംയോജകപ്രയോഗം,સંયોજકવાક્ય,ਸੰਯੋਜਕ ਵਾਕੰਸ਼,Kirai cha kiunganishi
verbtype.transitive,Ojetoli,Transitive,Transitiva,Transitivo,Transitiv,Transitief,Transitif,Transitivo,Переходный,Transitivum,ἀλλοπαθής,יוצא,متعدٍّ,及物动词,他動詞,,טראַנזיטיוו,Geçişli,Күчемле,transitivo,tranzitiv,transitiv,सकर्मकः,μεταβατικός,przechodni,преходен,перехідни́й,Прелазни,přechodný,tárgyas,타동,ngoại,Transitif,Transitif,palipat,متعدی,सकर्मक,متعدی,সকর্মক,செயப்படுப் பொருள் வினை,సకర్మకం,,സകർമ്മകക്രിയ,સકર્મક,ਸਕਰਮਕ,Kitendo
verbtype.intransitive,Nenojetoli,Intransitive,Netransitiva,Intransitivo,Intransitiv,Intransitief,Intransitif,Intransitivo,Непереходный,Intransitivum,ἀμετάβατος,עומד,لازم,不及物动词,自動詞,,אינטראַנזיטיוו,Geçişsiz,Күчемсез,intransitivo,intranzitiv,intransitiv,अकर्मक,αμετάβατος,nieprzechodni,непрехо́ден,неперехідни́й,Непрелазни,nepřechodný,tárgyatlan,자동,nội,Intransitif,Tak transitif,katawanin,لازم,अकर्मक,لازم,অকর্মক ক্রিয়া,தன்வினை,అకర్మకం,,അകർമ്മകം,અકર્મક,ਅਕਰਮਕ,Kisichokitendo
verbtype.intransitive_cu,Nenojetoli (-cu),Intrans. (-cu),Netr. (-cu),Intr.,Intr.,Intr.,Intr.,Intr.,Непер.,Intr.,ἀμετάβατος,עומד,لازم,不及物动词 (-cu),自動詞 (-cu),,אינטר.,Geçişsiz,Күчемсез,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbtype.copular,Linkuli,Copular,Kopula,Copulativo,Kopulativ,Koppelwerkwoord,Copule,Copulativo,Связка,Copulativum,,קישורי,رابط,系动词,繋辞,,פֿאַרבינדנדיק,Bağ fiil,Бәйләүче,cópula,copulă,kopula,संयोजकक्रियापदम्,συνδετικό ρήμα,spójka,ко́пула,ко́пула,Копулативан,spona,kopula,계사,từ liên hệ,kopula,Kopulatif,pandiwang pangawing,ربطی,योजक,ربطی,সংযোজক ক্রিয়া,இணைப்பு வினை,సంయోజకం,,ബന്ധകം,સંયોજક ક્રિયા,ਯੋਜਕ,Kiunganishi
verbtype.auxiliary,Sahayli,Auxiliary,Helpa,Auxiliar,Hilfsverb,Hulpwerkwoord,Auxiliaire,Ausiliare,Вспомогательный глагол,Auxiliare,βοηθός,עזר,مساعد,助动词,助動詞,helpend,הילפֿס־ווערב,Yardımcı fiil,Ярдәмче,auxiliar,Auxiliar,hjälpmaskin,सहायकः,βοηθητικός,pomocniczy,помощник,Допоміжний,Помоћни,pomocný,segéd-,보조,phụ trợ,Kata bantu,Kata bantu,Pantulong,کمکی,सहायक,معاون,সহায়ক ক্রিয়া,துணை வினை,సహాయకం,,സഹായക,સહાયક ક્રિયા,ਸਹਾਇਕ,Kisaidizi
verbtype.echo_transitive,Rusoti-ojetoli,Echo-transitive,Eĥ-transitiva,Eco-transitivo,Echo-transitiv,Echo-transitief,Écho-transitif,Eco-transitivo,Эхо-переходный,Echo-transitivum,ἀλλοπαθής,הד-יוצא,صدى-متعدٍّ,回声及物动词,反響他動詞,,עכאָ-טראַנזיטיוו,Yankı-geçişli,Аваз-күчемле,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbtype.feeling_hisi,Hisi,Feeling (hisi),Sento (hisi),Sentimiento,Gefühl,Gevoel,Sentiment,Sentimento,Чувство,Sensus,πάθος,הרגשה,شعور,感觉动词 (hisi),感情動詞 (hisi),ġefrēdnes,געפֿיל,Duygu,Хис,,,,,,,,,,,,,,,,,,,,,,,,,,,
verbtype.state_jotay,Jotay,State (jotay),Stato (jotay),Estado,Zustand,Toestand,État,Stato,Состояние,Status,ἕξις,מצב,حالة,状态动词 (jotay),状態動詞 (jotay),cynewise,צושטאַנד,Durum,Хәл,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat.root,Genulexi,Root,Radiko,Raíz,Wurzel,Wortel,Racine,Radice,Корень,Radix,ῥίζα,שורש,جذر,词根,語根,wyrttruma,וואָרצל,Kök,Тамыр,raiz,rădăcină,rot,मूलम्,ρίζα,korzeń,ко́рен,ко́рінь,Корен,kořen,gyökér,뿌리,rễ,akar,اکر,urat,ریشِه,जड़,جَڑ,মূল,வேர்,వేరు,ಬೇರು,വേര്,મૂળ,ਜੜ੍ਹ,mzizi
cat.derived,Tongilexi,Derived,Derivita,Derivada,Abgeleitet,Afgeleid,Dérivé,Derivato,Производное,Derivatum,γονή,נגזר,مشتقّ,派生词,派生語,,אָפּגעלענט,Türemiş,Туынды,derivado,derivat,avledning,उत्पन्नम्,παράγωγο,pochodny,произво́дно,Похідне,Изведено,odvozený,származék,파생어,Phái sinh,turunan,Terbitan,hango,اشتقاقی,व्युत्पन्न,مشتق,উৎপন্ন,வழிப்பொருள்,ఉత్పన్నం,,ഉത്പന്നം,ઉત્પન્ન,ਉਤਪੰਨ,kinyambuo
cat.affix,Fikso,Affix,Afikso,Afijo,Affix,Affix,Affixe,Affisso,Аффикс,Affixum,,מוספית,لاصقة,词缀,接辞,,וואָרט־טייל,Ek,Кушымча,afixo,afix,affix,प्रत्ययः,προσθήκη,afiks,прибавка,Афікс,Афикс,afix,toldalék,접사,phụ tố,imbuhan,Imbuhan,maylapi,وند,प्रत्यय,لاحقہ/سابقہ,প্রত্যয়,இடைநிலை,ప్రత్యయము,,പ്രത്യയം,પ્રત્યય,ਲਗ,kiambishi
cat.phrase,Jumlemon,Phrase,Frazo,Frase,Phrase,Woordgroep,Phrase,Frase,Фраза,Phrasis,,ביטוי,عبارة,短语惯用语,句・慣用表現,,פֿראַזע,Öbek,Фраза,frase,frază,fras,,φράση,fraza,фра́за,фра́за,,fráze,mondás,구,câu,frasa,frasa,parirala,بَیان,वाक्य,عِبارَت,ফ্রেজ,,,,,,,
cat.proper_word,Suli lexi,Proper word,Propra vorto,Palabra propia,Eigenname,Eigen woord,Mot propre,Parola propria,Собственное слово,Verbum proprium,ἄρτιος,מילה פרטית,كلمة خاصّة,专有词,固有語,cynn,אייגענער וואָרט,Özel sözcük,Үзлек сүз,próprio,decent,proper,विशिष्टशब्दः,Κύρια λέξη,właściwy,подходящ,нале́жний,Права реч,pravý,megfelelő,고유어,Từ riêng,Kata khusus,Kata khas,Sariling salita,خود,उचित,اچت,নিজস্ব শব্দ,சொந்தச் சொல்,సొంత పదం,,സ്വന്തം പദം,યોગ્ય શબ્દ,ਸਹੀ ਸ਼ਬਦ,Neno halisi
cat.bound_root,Bandido genulexi,Bound root,Ligita radiko,Raíz ligada,Gebundene Wurzel,Gebonden wortel,Racine liée,Radice legata,Связанный корень,Radix vincta,ῥίζα,שורש קשור,جذر مقيّد,黏着词根,拘束語根,wyrttruma,געבונדענער וואָרצל,Bağlı kök,Бәйләнгән тамыр,raiz,rădăcină,rot,बन्धमूलम्,ρίζα,korzeń,ко́рен,ко́рінь,Везани корен,kořen,gyökér,뿌리,rễ,akar,اکر,urat,ریشِه,जड़,جَڑ,মূল,வேர்,వేరు,ಬೇರು,വേര്,બંધ મૂળ,ਜੜ੍ਹ,mzizi
ui.languages,Basa,Languages,Lingvoj,Idiomas,Sprachen,Talen,Langues,Lingue,Языки,Linguae,γλῶσσα,שפות,لغات,显示语言,表示言語,ġeþēode,שפּראַכן,Diller,Телләр,língua,limbă,språk,भाषा,γλώσσα,mowa,ези́к,мо́ва,Језици,řeč,nyelv,말,tiếng,bahasa,bahasa,wika,زُبان,भाष,بولی,জবান,பாசை,భాష,ಭಾಷೆ,ഭാഷ,ભાષા,ਜ਼ਬਾਨ,lugha
ui.script,Eskrisistema,Script,Skribsistemo,Escritura,Schrift,Schrift,Écriture,Scrittura,Письмо,Scriptura,γραφή,כתב,خطّ,书写系统,表記体系,,שרײַבונג,Yazı,Язу,escrito,script,handskrift,अक्षर,γραφή,pismo,писмо́,по́черк,Писмо,scénář,forgatókönyv,문장,kịch bản,tulisan,tulisan,sulatsay,نَمایِشنامِه,लिपि,لیکھن,লিখন,எழுத்து,లిపి,ಬರವಣಿಗೆ,ലിപി,લિપિ,ਲਿਖਾਈ,mswada
lang.Globasa,Globasa,Globasa,Globasa,Globasa,Globasa,Globasa,Globasa,Globasa,Globasa,Globasa,,גלובסה,غلوباسا,格洛巴萨,グロバサ,,גלאָבאַסאַ,Globasa,Глобаса,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.English,Englisa,English,Angla,Inglés,Englisch,Engels,Anglais,Inglese,Английский,Anglica,,אנגלית,الإنجليزية,英语,英語,Englisċ,ענגליש,İngilizce,Инглизчә,inglês,english,engelska,,αγγλικά,angielski,англи́йски,англі́йська,,angličtina,angol,영어,tiếng Anh,bahasa Inggris,bahasa Inggeris,Ingles,اِنْگْلیسی,अंग्रेज़ी,اَن٘گْریزی,ইংরেজি,ஆங்கிலம்,ఆంగ్లము,ಆಂಗ್ಲ,ഇംഗ്ലീഷ്,અંગ્રેજી,ਅੰਗ੍ਰੇਜ਼ੀ,zunguka
lang.Esperanto,Esperanto,Esperanto,Esperanto,Esperanto,Esperanto,Esperanto,Espéranto,Esperanto,Эсперанто,Esperanta,,אספרנטו,الإسبرانتو,世界语,エスペラント,,עספּעראַנטאָ,Esperanto,Эсперанто,esperanto,esperanto,esperanto,,Εσπεράντο,esperanto,еспера̀нто,еспера́нто,,esperanto,eszperantó,에스페란토,quốc tế ngữ,,,Esperanto,اسپرانتو,एस्पेरान्तो,,,,,,എസ്പെരാന്തോ,એસ્પેરાન્તો,,Kiesperanto
lang.Spanish,Espanisa,Spanish,Hispana,Español,Spanisch,Spaans,Espagnol,Spagnolo,Испанский,Hispanica,,ספרדית,الإسبانية,西班牙语,スペイン語,Spēonisċ,שפּאַניש,İspanyolca,Испанча,espanhol,spaniolă,spanska,,ισπανικά,hiszpański,испа́нски,іспа́нський,,španělština,spanyol,스페인어,tiếng Y Pha Nho,Spanyol,bahasa Sepanyol,Kastila,اسپانیایی,स्पेनी,ہسپانی,স্পেনীয় ভাষা,எசுப்பானிய மொழி,,ಸ್ಪ್ಯಾನಿಷ್ ಭಾಷೆ,സ്പാനിഷ് ഭാഷ,સ્પેનિશ,,Kihispania
lang.German,Doycisa,German,Germana,Alemán,Deutsch,Duits,Allemand,Tedesco,Немецкий,Germanica,,גרמנית,الألمانية,德语,ドイツ語,,דײַטש,Almanca,Германча,germano,germană,tyska,,αμφιθαλής,niemiecki,роден,німе́цька,,němčina,német,독어,tiếng Đức,bahasa Jerman,Jerman,Aleman,آلمانی,जरमन,جرمن,জার্মান ভাষা,செருமன்,జర్మను,ಡಚ್,ജർമൻ ഭാഷ,જર્મન,,kijerumani
lang.Dutch,Nederisa,Dutch,Nederlanda,Neerlandés,Niederländisch,Nederlands,Néerlandais,Olandese,Нидерландский,Batava,,הולנדית,الهولندية,荷兰语,オランダ語,,האָלענדיש,Hollandaca,Голландча,batavo,olandeză,holländska,,ολλανδικά,(język) holenderski,холандски,голла́ндська,,holandština,holland,네덜란드어,tiếng Hà Lan,bahasa Belanda,bahasa Belanda,Olandes,هلندی,डच,ڈچ,,டச்சு மொழி,,,,ડચ,,Kiholanzi
lang.Old English,Lama Englisa,Old English,Malnova angla,Inglés antiguo,Altenglisch,Oudengels,Vieil anglais,Inglese antico,Древнеанглийский,Anglica Antiqua,,אנגלית עתיקה,الإنجليزية القديمة,古英语,古英語,Englisċ,אַלט־ענגליש,Eski İngilizce,Борынгы инглизчә,anglo-saxão,anglosaxonă,fornengelska,,αρχαία αγγλική γλώσσα,staroangielski,староанглийски език,староанглі́йська,,stará angličtina,óangol (nyelv),고영어,,bahasa Inggris Kuna,Inggeris Kuno,lumang Ingles,انگلیسی قدیم,पूर्व-अंग्रेज़ी,,কদীম ইংরেজী,,,,,,,Kiingereza cha Kale
lang.Ancient Greek,Daylama Elinisa,Ancient Greek,Antikva greka,Griego antiguo,Altgriechisch,Oudgrieks,Grec ancien,Greco antico,Древнегреческий,Graeca Antiqua,Ἑλληνική,יוונית עתיקה,اليونانية القديمة,古希腊语,古代ギリシャ語,Crēċisċ,אַלט־גריכיש,Antik Yunanca,Борынгы грекчә,grego antigo,greaca veche,antik grekiska,,αρχαία ελληνικά,starożytna greka,старогръ́цки,давньогре́цька мо́ва,,starořečtina,ógörög,희랍어,tiếng Hy Lạp cổ đại,bahasa Yunani,Yunani,Griyego,یونانی,पूर्व-यूनानी,یونانی,কদীম ইউনানী ভাষা,கிரேக்கம்,,,,,,Kigiriki
lang.Latin,Latinsa,Latin,Latina,Latín,Latein,Latijn,Latin,Latino,Латинский,Latina,,לטינית,اللاتينية,拉丁语,ラテン語,Lǣden,לאַטײַן,Latince,Латинча,latim,latină,latin,,λατινικά,łacina,лати́нски,лати́на,,latina,latin,라틴어,Latinh,,Latin,,,लैटिन,لاطینی زبان,লাতিন ভাষা,இலத்தீன்,లాటిను,,,,,
lang.French,Fransesa,French,Franca,Francés,Französisch,Frans,Français,Francese,Французский,Francica,,צרפתית,الفرنسية,法语,フランス語,Frenċisċ,פֿראַנצויזיש,Fransızca,Французча,francês,franceză,franska,,γαλλικά,francuszczyzna,фре́нски,французька мова,,francouzština,francia,불어,Pháp ngữ,bahasa Perancis,Perancis,Pranses,فرانسوی,खाद्य पदार्थ के टुकड़े करना,فرانسیسی,ফরাসি ভাষা,பிரஞ்சு,ఫ్రెంచి,ಫ್ರೆಂಚ್,ഫ്രഞ്ച് ഭാഷ,ફ્રાન્સીસી,فرانسیسی,Kifaransa
lang.Italian,Italisa,Italian,Itala,Italiano,Italienisch,Italiaans,Italien,Italiano,Итальянский,Italica,,איטלקית,الإيطالية,意大利语,イタリア語,,איטאַליעניש,İtalyanca,Итальянча,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.Russian,Rusisa,Russian,Rusa,Ruso,Russisch,Russisch,Russe,Russo,Русский,Russica,,רוסית,الروسية,俄语,ロシア語,,רוסיש,Rusça,Русча,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.Yiddish,Yidix,Yiddish,Jida,Yidis,Jiddisch,Jiddisch,Yiddish,Yiddish,Идиш,Iudaica,,יידיש,اليديشية,意第绪语,イディッシュ語,,ייִדיש,Yidişçe,Идиш,ídiche,idiș,jiddisch,,γίντις,jidysz,и́диш,ї́диш,,jidiš,jiddis,이디시어,tiếng Yiddish,bahasa Yiddi,bahasa Yiddish,,ییدیش,यिडिश,,,,,,,,,
lang.Hebrew,Ivrisa,Hebrew,Hebrea,Hebreo,Hebräisch,Hebreeuws,Hébreu,Ebraico,Иврит,Hebraica,,עברית,العبرية,希伯来语,ヘブライ語,,עבֿרית,İbranice,Ибраничә,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.Arabic,Arabisa,Arabic,Araba,Árabe,Arabisch,Arabisch,Arabe,Arabo,Арабский,Arabica,,ערבית,العربية,阿拉伯语,アラビア語,Arabisċ,אַראַביש,Arapça,Гарәпчә,árabe,arabă,arabiska,,αραβικά,arabski,ара́бски,ара́бська,,arabština,arab,아랍어,tiếng A-rập,bahasa arab,bahasa Arab,,عَرَبی,अरबी,عَرَبی,আরবি ভাষা,அரபி,అరబ్బీ,,,,ਅਰਬੀ,kiarabu
lang.Mandarin Chinese,Putunhwa,Mandarin Chinese,Mandarena ĉina,Chino mandarín,Mandarin-Chinesisch,Mandarijns,Chinois mandarin,Cinese mandarino,Мандаринский,Sinica Mandariana,Σῆρες,סינית מנדרינית,الصينية الماندرينية,普通话,北京語,,מאַנדאַרין־כינעזיש,Mandarin Çincesi,Мандарин кытайча,mandarim,mandarin,mandarin,,μανδαρίνος,mandaryn,мандарин,кита́йці,,mandarín,mandarin,중국인,quan,mandarin,Cina,Tsino,چینی,चीनी,چینی,চীনা ভাষা,சீனம்,చైనీయులు,,,ચીની,,Mchina
lang.Japanese,Niponsa,Japanese,Japana,Japonés,Japanisch,Japans,Japonais,Giapponese,Японский,Iaponica,,יפנית,اليابانية,日语,日本語,,יאַפּאַניש,Japonca,Японча,japonês,japoneză,japanska,,ιαπωνικά,japońszczyzna,япо́нски,японська,,japonština,japán,일어,tiếng Nhật,bahasa Jepang,bahasa Jepun,,ژاپنی,जापानी,جاپانی,জাপানি,ஜப்பானிய மொழி,జపనీసు,,ജാപ്പനീസ്,જાપાની ભાષા,,Kijapani
lang.Turkish,Turkisa,Turkish,Turka,Turco,Türkisch,Turks,Turc,Turco,Турецкий,Turcica,,טורקית,التركية,土耳其语,トルコ語,,טערקיש,Türkçe,Төрекчә,turco,turcă,turkiska,,τουρκική,język turecki,ту́рски,туре́цька,,turecký jazyk m turečtina,török,터키어,tiếng Thổ,,bahasa Turki,,زبان ترکی,तुर्की,ترکی,তুর্কি,,,,,,,Kituruki
lang.Tatar,Tatarsa,Tatar,Tatara,Tártaro,Tatarisch,Tataars,Tatar,Tataro,Татарский,Tatarica,,טטרית,التترية,鞑靼语,タタール語,,טאַטאַריש,Tatarca,Татарча,tártaro,tătară,tatariska,,,tatarski,,тата́рська мо́ва,,tatarština,tatár,타타르어,,bahasa Tatar,,,,तातार,,তাতারী,,,,,,,
lang.Persian,Parsisa,Persian,Persa,Persa,Persisch,Perzisch,Persan,Persiano,Персидский,Persica,,פרסית,الفارسية,波斯语,ペルシア語,,פּערסיש,Farsça,Фарсыча,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.Indonesian,Indonesisa,Indonesian,Indonezia,Indonesio,Indonesisch,Indonesisch,Indonésien,Indonesiano,Индонезийский,Indonesica,,אינדונזית,الإندونيسية,印度尼西亚语,インドネシア語,,אינדאָנעזיש,Endonezyaca,Индонезча,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.Hindi,Hindi,Hindi,Hinda,Hindi,Hindi,Hindi,Hindi,Hindi,Хинди,Hindica,,הינדית,الهندية,印地语,ヒンディー語,,הינדי,Hintçe,Хинди,hindi,hindusă,hindi,हिन्दी,χίντι,hindi,хи́нди,гі́нді,,hindština,hindi,힌디어,tiếng Ấn Độ,Hindi,Hindi,wikang Hindi,هِنْدی,हिंदी,ہِنْدی,হিন্দি,இந்தி,హిందీ,ಹಿಂದಿ,ഹിന്ദി,હિન્દી,ਹਿੰਦੀ,Kihindi
lang.Korean,Koreasa,Korean,Korea,Coreano,Koreanisch,Koreaans,Coréen,Coreano,Корейский,Coreana,,קוריאנית,الكورية,韩语,韓国語,,קאָרעיִש,Korece,Корейча,coreano,coreeană,koreanska,,κορεατικά,koreański,коре́йски,коре́йська,,korejština,koreai,한글,tiếng Hàn Quốc,bahasa Korea,bahasa Korea,Korean,کرهای,कोरियाई,,,,,,,,,Kikorea
lang.Filipino,Pilipinasa,Filipino,Filipina,Filipino,Philippinisch,Filipijns,Filipino,Filippino,Филиппинский,Philippina,,פיליפינית,الفلبينية,菲律宾语,フィリピン語,,פֿיליפּינעזיש,Filipince,Филиппинча,filipino,filipineză,filippinska,,φιλιππινέζικα,,,,,,tagalog,필리핀어,tiếng Tagalog,,,Filipino,,,,,,,,,,,Kifilipino
lang.Swahili,Swahilisa,Swahili,Svahila,Suajili,Swahili,Swahili,Swahili,Swahili,Суахили,Swahili,,סוואהילית,السواحيلية,斯瓦希里语,スワヒリ語,,סוואַהילי,Svahilice,Суахили,suaíli,,swahili,,σουαχίλι,suahili,суахи́ли,суахі́лі,,svahilština,szuahéli,스와힐리어,tiếng Swahili,,,,سواحلی,स्वाहिली,سَواحِلی,,,,,,,,Kiswahili
lang.Vietnamese,Vyetnamsa,Vietnamese,Vjetnama,Vietnamita,Vietnamesisch,Vietnamees,Vietnamien,Vietnamita,Вьетнамский,Vietnamica,,וייטנאמית,الفيتنامية,越南语,ベトナム語,,וויעטנאַמיש,Vietnamca,Вьетнамча,vietnamita,vietnameză,vietnamesiska,,βιετναμικά,wietnamski,,в'єтна́мська,,vietnamština,vietnami,베트남어,Việt ngữ,,,Biyetnames,ویتنامی,वियतनामी,ویتنامی,,,,,,,,Kivieti
lang.Telugu,Telugusa,Telugu,Telugua,Telugu,Telugu,Telugu,Télougou,Telugu,Телугу,Telugica,,טלוגו,التيلوغوية,泰卢固语,テルグ語,,טעלוגוו,Telugu,Телугу,telugo,,telugu,तेलुगु,τελούγκου,język telugu,,телугу,,telugština,telugu,텔루구어,,bahasa Telugu,bahasa Telugu,,,तेलुगू,تیلگو,তেলুগু ভাষা,தெலுங்கு,తెలుగు,ತೆಲುಗು,തെലുഗു,તેલુગુ,,
lang.Portuguese,Portugalsa,Portuguese,Portugala,Portugués,Portugiesisch,Portugees,Portugais,Portoghese,Португальский,Lusitana,,פורטוגזית,البرتغالية,葡萄牙语,ポルトガル語,,פּאָרטוגעזיש,Portekizce,Португалча,português,portugheză,portugisiska,,πορτογαλικά,portugalski,португа́лски,португа́льська,,portugalština,portugál,포어,tiếng Bồ-đào-nha,bahasa portugal,Portugal,Portuges,پرتغالی,पुर्तगाली,پرتگالی,পর্তুগিজ,போர்ச்சுகீஸ,బుడతకీచు,ಪೋರ್ಚುಗೀಸ್,,,,Kireno
lang.Greek,Elinisa,Greek,Greka,Griego,Griechisch,Grieks,Grec,Greco,Греческий,Graeca,Ἑλληνική,יוונית,اليونانية,希腊语,ギリシャ語,Crēċisċ,גריכיש,Yunanca,Грекча,grego,greacă,grekiska,,ελληνικά,greka,гръ́цки,гре́цька,,řečtina,görög,그리스어,tiếng Hy-lạp,bahasa Yunani,Yunani,Griyego,یونانی,यूनानी,یونانی,গ্রিক,கிரேக்கம்,,,,,,Kigiriki
lang.Tamil,Tamilsa,Tamil,Tamila,Tamil,Tamil,Tamil,Tamoul,Tamil,Тамильский,Tamilica,,טמילית,التاميلية,泰米尔语,タミル語,,טאַמיל,Tamilce,Тамилча,tâmul,,tamil,,,tamilski,,,,tamilština,tamil,타밀어,tiếng Tamil,bahasa Tamil,bahasa Tamil,,تامیل,तमिल,تامل,,தமிழ்,తమిళము,ತಮಿಳು,തമിഴ്,,,
lang.Kannada,Karnatakasa,Kannada,Kanara,Canarés,Kannada,Kannada,Kannada,Kannada,Каннада,Kannada,,קנאדה,الكنّادية,卡纳达语,カンナダ語,,קאַנאַדאַ,Kannada,Каннада,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.Bengali,Banglasa,Bengali,Bengala,Bengalí,Bengalisch,Bengaals,Bengali,Bengalese,Бенгальский,Bengalia,,בנגלית,البنغالية,孟加拉语,ベンガル語,,בענגאַליש,Bengalce,Бенгалча,bengali,bengaleză,bengali,बाङ्गला भाषा,μπενγκάλι,bengali,бенга́лски,бенга́льська,,bengálština,bengáli,벵골어,tiếng Bengali,,bahasa Benggali,,بنگالی,बँगला,بنگلہ,বাংলা,வங்காள மொழி,బెంగాలీ,,,બંગાળી,,Kibengali
lang.Malay,Malaysisa,Malay,Malaja,Malayo,Malaiisch,Maleis,Malais,Malese,Малайский,Malaja,,מלאית,الملايوية,马来语,マレー語,,מלאַיִיש,Malayca,Малайча,malaio,,malajiska,,μαλαισιανά,malajski,,,,malajština,maláj,마인어,tiếng Mã-lai,Melayu,bahasa Melayu,Malayo,زبان مالایی,,,,,,,,,,
lang.Swedish,Swerisa,Swedish,Sveda,Sueco,Schwedisch,Zweeds,Suédois,Svedese,Шведский,Suecica,,שוודית,السويدية,瑞典语,スウェーデン語,,שוועדיש,İsveççe,Шведча,sueco,suedeză,svenska,,σουηδικά,szwedzki,шве́дски,шве́дська,,švédština,svéd,스웨덴어,tiếng Thụy Điển,bahasa Swedia,,,,स्वीडिश,,সুইডীয় ভাষা,,,,,,,Kiswidi
lang.Malayalam,Keralasa,Malayalam,Malajala,Malayalam,Malayalam,Malayalam,Malayalam,Malayalam,Малаялам,Malajalamensis,,מלאיאלאם,المالايالامية,马拉雅拉姆语,マラヤーラム語,,מלאַיאַלאַם,Malayalam,Малаялам,malaiala,,malayalam,मलयाळम्,μαλαγιαλαμικά,malajalam,,,,malajalámský,malajálam,말라얄람어,,,Malayalam,wikang Malayalam,,मलयालम,,মালয়ালম ভাষা,மலையாளம்,మలయాళ భాష,ಮಲಯಾಳಂ,മലയാളം,,,
lang.Sanskrit,Sanskritam,Sanskrit,Sanskrita,Sánscrito,Sanskrit,Sanskriet,Sanskrit,Sanscrito,Санскрит,Sanskrita,,סנסקריט,السنسكريتية,梵语,サンスクリット語,,סאַנסקריט,Sanskritçe,Санскрит,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.Polish,Polskasa,Polish,Pola,Polaco,Polnisch,Pools,Polonais,Polacco,Польский,Polonica,,פולנית,البولندية,波兰语,ポーランド語,,פּויליש,Lehçe,Полякча,cera,pastă de lustruit,polityr,घर्षति,γυαλίζω,pasta do polerowania,лак,шліфува́ти,,leštidlo,fényez,닦다,đánh bóng,poles,,,پولیش,,,,,,,,,,
lang.Javanese,Jawasa,Javanese,Java,Javanés,Javanisch,Javaans,Javanais,Giavanese,Яванский,Iavanica,,ג'אוונית,الجاوية,爪哇语,ジャワ語,,דזשאַוואַניש,Cava dili,Яванча,jau,,javanesiska,,,(język) jawajski,,,,javánština,jávai,,,Jawa,Jawa,,,,,,,,,,,,
lang.Kurdish,Kurdisa,Kurdish,Kurda,Kurdo,Kurdisch,Koerdisch,Kurde,Curdo,Курдский,Curdica,,כורדית,الكردية,库尔德语,クルド語,,קורדיש,Kürtçe,Курдча,,,,,,,,,,,,,,,,,,,,,,,,,,,
lang.Norwegian,Norgesa,Norwegian,Norvega,Noruego,Norwegisch,Noors,Norvégien,Norvegese,Норвежский,Norvegica,,נורווגית,النرويجية,挪威语,ノルウェー語,,נאָרוועגיש,Norveççe,Норвегча,,,,,,,,,,,,,,,,,,,,,,,,,,,
